accessibility,population_acc1km_percentage_young,population_acc1km_percentage_female,population_acc1km_percentage_child,population_acc1km_percentage_middle,population_acc1km_percentage_elder,population_acc1km_percentage_male,population_acc1km_percentage,population_acc1km_percentage_BuiltUp,population_acc1km_percentage_Other
10264.66,6.33,9.28,3.42,3.69,5.77,9.94,19.22,19.22,0.0
10264.74,2.33,2.99,1.56,0.83,1.05,2.78,5.77,0.0,5.77
10264.79,17.39,20.32,11.44,6.36,6.67,21.54,41.86,41.86,0.0
10265.07,3.17,5.2,2.8,1.98,2.96,5.71,10.91,10.91,0.0
10265.31,3.15,6.26,3.09,2.6,3.9,6.48,12.75,12.75,0.0
10265.42,21.19,24.75,10.25,8.57,8.99,24.25,49.0,49.0,0.0
10265.56,3.57,6.43,2.7,2.95,3.8,6.58,13.01,13.01,0.0
10265.7,4.87,6.33,2.19,2.64,3.25,6.63,12.96,12.96,0.0
10266.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10266.59,11.5,16.87,6.75,7.13,9.2,17.71,34.58,34.58,0.0
10266.8,5.49,11.22,4.78,5.03,7.69,11.78,23.0,23.0,0.0
10266.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10266.89,7.77,11.52,5.3,4.4,5.29,11.24,22.76,22.76,0.0
10266.95,8.42,12.06,4.26,4.08,6.85,11.55,23.61,23.61,0.0
10267.15,24.16,23.17,9.69,7.0,6.75,24.43,47.6,47.6,0.0
10267.19,8.32,12.21,4.89,5.16,6.65,12.81,25.02,25.02,0.0
10267.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10267.27,2.63,5.22,2.58,2.16,3.25,5.4,10.62,10.62,0.0
10267.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10267.68,2.85,3.0,1.02,0.92,1.29,3.08,6.08,6.08,0.0
10267.8,20.33,27.76,15.1,9.8,11.34,28.81,56.57,56.57,0.0
10267.83,0.22,0.28,0.15,0.08,0.1,0.26,0.54,0.0,0.54
10267.9,8.7,12.75,4.7,5.08,7.93,13.66,26.41,26.41,0.0
10268.03,0.02,0.02,0.01,0.01,0.01,0.02,0.04,0.0,0.04
10268.06,1.36,1.73,0.8,0.58,0.72,1.73,3.46,3.46,0.0
10268.2,0.0,0.0,0.0,0.0,0.0,0.0,28.59,28.59,0.0
10268.21,9.42,13.8,5.09,5.5,8.58,14.78,0.0,0.0,0.0
10269.09,1.49,1.87,1.09,0.73,0.61,2.04,3.91,3.91,0.0
10269.19,8.37,12.0,4.24,4.06,6.81,11.49,23.48,23.48,0.0
10269.21,6.13,8.98,3.31,3.58,5.58,9.62,18.6,18.6,0.0
10269.47,49.72,58.09,32.7,18.17,19.08,61.57,119.66,119.66,0.0
10269.69,0.21,0.3,0.1,0.1,0.17,0.28,0.58,0.58,0.0
10269.85,1.72,2.21,1.15,0.61,0.78,2.05,4.26,0.0,4.26
10270.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10270.08,0.01,0.01,0.0,0.0,0.01,0.01,0.02,0.0,0.02
10270.12,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
10270.13,13.35,16.77,8.99,6.27,6.03,17.87,0.0,0.0,0.0
10270.14,0.0,0.0,0.0,0.0,0.0,0.0,34.64,34.64,0.0
10270.24,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01
10270.84,2.82,6.02,2.39,2.44,4.48,6.11,12.13,12.13,0.0
10270.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10270.94,3.56,5.22,2.09,2.21,2.85,5.48,10.71,10.71,0.0
10271.03,23.59,24.81,8.41,7.62,10.66,25.48,50.29,50.29,0.0
10271.21,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01
10271.48,0.42,0.49,0.28,0.15,0.16,0.52,1.01,1.01,0.0
10271.9,0.14,0.24,0.14,0.1,0.1,0.23,0.47,0.47,0.0
10272.45,0.02,0.02,0.01,0.01,0.01,0.02,0.04,0.0,0.04
10272.83,23.81,30.4,20.34,9.92,8.67,32.33,62.74,62.74,0.0
10273.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10274.03,20.84,25.03,15.21,8.73,8.02,27.77,52.8,52.8,0.0
10274.3,0.02,0.02,0.01,0.01,0.01,0.02,0.04,0.0,0.04
10274.38,9.84,13.44,7.31,4.74,5.49,13.94,27.38,27.38,0.0
10274.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10275.14,0.9,1.57,0.92,0.65,0.64,1.54,3.11,0.0,3.11
10275.62,0.02,0.03,0.02,0.01,0.01,0.03,0.06,0.0,0.06
10275.8,4.52,8.98,4.44,3.72,5.6,9.3,18.28,18.28,0.0
10275.95,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
10276.03,19.33,27.02,17.41,11.51,5.39,26.63,53.65,0.0,53.65
10276.45,1.41,2.88,1.23,1.29,1.97,3.02,5.9,5.9,0.0
10276.48,15.62,23.16,10.66,8.84,10.63,22.58,45.75,45.75,0.0
10276.74,0.0,0.0,0.0,0.0,0.0,0.0,39.05,39.05,0.0
10276.75,19.82,19.01,7.95,5.74,5.54,20.04,0.0,0.0,0.0
10277.49,0.65,0.96,0.44,0.37,0.44,0.93,1.89,1.89,0.0
10277.82,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.0,0.02
10278.5,31.43,36.73,20.67,11.49,12.06,38.93,75.66,75.66,0.0
10278.52,5.89,8.44,2.98,2.85,4.79,8.08,16.52,16.52,0.0
10278.93,11.54,17.12,7.88,6.54,7.86,16.7,33.82,33.82,0.0
10278.95,3.0,5.41,2.27,2.48,3.19,5.54,10.94,10.94,0.0
10279.54,35.16,41.45,29.34,13.64,7.59,44.29,85.73,85.73,0.0
10279.62,3.44,6.19,2.6,2.84,3.65,6.34,12.52,12.52,0.0
10279.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10279.85,9.62,14.1,5.2,5.61,8.76,15.1,29.2,29.2,0.0
10279.88,1.05,1.32,0.77,0.51,0.43,1.44,2.76,2.76,0.0
10280.01,8.73,8.37,3.5,2.53,2.44,8.82,17.19,17.19,0.0
10280.21,5.54,11.31,4.82,5.07,7.76,11.88,23.19,23.19,0.0
10280.57,6.62,11.5,6.74,4.74,4.68,11.28,22.78,22.78,0.0
10280.6,1.41,2.54,1.07,1.17,1.5,2.61,5.15,5.15,0.0
10280.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10281.22,26.03,27.36,9.28,8.41,11.76,28.11,55.47,55.47,0.0
10281.31,21.29,24.87,14.0,7.78,8.17,26.36,51.23,51.23,0.0
10281.51,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01
10281.56,19.16,23.75,16.3,7.91,6.84,26.45,50.2,50.2,0.0
10281.61,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.0,0.02
10281.63,21.36,26.48,18.17,8.82,7.62,29.48,55.96,55.96,0.0
10281.85,2.52,3.17,1.84,1.23,1.02,3.45,6.62,6.62,0.0
10282.03,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01
10282.32,18.51,22.95,15.75,7.64,6.61,25.55,48.5,48.5,0.0
10282.53,23.99,29.74,20.41,9.9,8.56,33.12,62.86,62.86,0.0
10282.55,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0
10282.64,1.08,1.27,0.9,0.42,0.23,1.36,2.63,2.63,0.0
10282.72,2.33,4.48,2.52,2.39,1.61,4.37,8.84,0.0,8.84
10282.78,1.57,1.83,0.76,0.63,0.66,1.79,3.62,3.62,0.0
10283.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10283.42,20.61,24.75,15.04,8.64,7.93,27.46,52.21,52.21,0.0
10283.51,0.36,0.53,0.31,0.19,0.25,0.58,1.1,0.0,1.1
10283.65,8.82,12.94,5.18,5.47,7.06,13.58,26.53,26.53,0.0
10283.93,18.09,22.68,13.78,7.78,7.08,24.05,46.73,46.73,0.0
10284.09,0.08,0.08,0.03,0.02,0.03,0.08,0.16,0.16,0.0
10284.27,20.14,24.98,17.13,8.32,7.19,27.81,52.78,52.78,0.0
10284.48,0.01,0.01,0.0,0.0,0.01,0.01,0.02,0.02,0.0
10284.64,0.01,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.02
10284.78,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
10284.9,3.33,6.62,3.27,2.75,4.13,6.86,13.48,13.48,0.0
10284.91,22.32,28.49,19.06,9.29,8.12,30.3,58.8,58.8,0.0
10284.96,13.11,15.31,6.34,5.3,5.56,15.0,30.31,30.31,0.0
10285.5,5.44,9.46,5.55,3.9,3.85,9.27,18.73,18.73,0.0
10285.72,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01
10285.89,16.63,22.71,12.35,8.02,9.27,23.57,46.28,46.28,0.0
10285.94,13.63,17.12,9.17,6.4,6.15,18.24,35.36,35.36,0.0
10285.97,10.08,13.76,7.48,4.86,5.62,14.28,28.04,28.04,0.0
10286.12,8.81,12.03,6.54,4.25,4.91,12.48,24.5,24.5,0.0
10286.36,17.61,22.08,13.42,7.58,6.89,23.42,45.5,45.5,0.0
10286.39,8.98,12.26,6.67,4.33,5.01,12.72,24.98,24.98,0.0
10286.75,9.69,14.22,5.69,6.01,7.75,14.92,29.14,29.14,0.0
10286.84,17.89,21.49,13.06,7.5,6.88,23.84,45.33,45.33,0.0
10286.85,7.31,9.98,5.43,3.52,4.07,10.35,20.33,20.33,0.0
10287.39,9.42,12.86,6.99,4.54,5.25,13.34,26.2,26.2,0.0
10287.42,19.33,24.6,11.44,8.21,10.29,24.67,49.27,49.27,0.0
10287.74,21.92,21.02,8.79,6.35,6.12,22.16,43.17,43.17,0.0
10287.96,21.04,25.27,15.36,8.82,8.1,28.04,53.31,53.31,0.0
10288.16,8.26,11.28,6.13,3.98,4.61,11.71,22.98,22.98,0.0
10288.32,1.77,3.07,1.8,1.27,1.25,3.01,6.08,6.08,0.0
10288.61,5.78,8.44,4.01,3.17,4.08,8.6,17.04,17.04,0.0
10288.66,3.26,4.84,2.23,1.85,2.22,4.72,9.56,9.56,0.0
10288.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10288.96,2.94,5.3,2.23,2.43,3.13,5.43,10.73,10.73,0.0
10288.97,10.05,13.73,7.47,4.85,5.61,14.25,27.97,27.97,0.0
10289.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10289.45,6.49,13.25,5.65,5.94,9.08,13.91,27.16,27.16,0.0
10289.63,18.34,22.99,13.97,7.89,7.18,24.39,47.38,47.38,0.0
10289.65,6.28,9.2,3.39,3.66,5.72,9.86,19.06,19.06,0.0
10290.04,6.94,9.48,5.16,3.35,3.87,9.84,19.32,19.32,0.0
10290.66,17.89,22.84,15.28,7.45,6.51,24.29,47.14,47.14,0.0
10290.78,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0
10290.83,0.44,0.63,0.22,0.21,0.36,0.6,1.23,1.23,0.0
10290.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
