value,evcs
0.0074241366,0
1.3575102,0
4.3554883,0
2.716217,0
1.8296906e-14,0
0.00018097895,0
8.599e-05,0
0.00086289964,0
0.0073151495,0
1.9024377e-14,0
0.70371616,0
0.041552167,0
0.048684344,0
8.295971,0
8.624504,0
0.0395604,0
3.8630743e-14,0
0.0010508779,0
0.0057063363,0
0.026030974,0
4.0098066,0
39.48015,0
4.4070835,0
0.00584732,0
2.9279675,0
1.7161024,0
2.8081023e-13,0
0.0061992793,0
0.002123753,0
0.0016668062,0
0.002766678,0
0.053440787,0
3.2672446e-13,0
0.051893964,0
4.3846987e-13,0
0.001581816,0
2.3507278,0
0.030477457,0
0.000997884,0
50.29461,0
13.580914,0
0.0019307756,0
0.091649346,0
0.0008449018,0
0.027154842,0
1.3561603,0
1.3077707e-12,0
5.979828,0
12.806218,0
0.32198757,0
0.049689222,0
7.322096,0
13.5478,0
0.09481397,0
1.3350338,0
1.2902901,0
1.6239272,0
127.97052,0
161.62633,0
4.3586793,0
0.14329433,0
5.8600883e-14,0
0.019879688,0
0.5087709,0
0.0050594117,0
0.014007372,0
0.103008024,0
0.17826627,0
0.10278705,0
12.734189,0
7.6099696,0
0.023421276,0
0.02013666,0
0.062014792,0
0.008622997,0
127.85658,0
111.63552,0
0.16529179,0
2.5347424,0
1.694733e-13,0
0.004454482,0
0.009745867,0
0.103919916,0
0.089310616,0
0.07715403,0
0.063438624,0
0.12510845,0
0.04670357,0
0.09699572,0
2.732984,0
0.0011778631,0
154.78171,0
65.996635,0
5.814067,0
3.079635,0
0.23573859,0
0.0068502035,0
0.07297751,0
0.0619058,0
0.019741705,0
1.8780653e-13,0
0.021743473,0
0.5154341,0
0.043292966,0
16.806715,0
15.051998,0
0.29147512,0
2.6682909,0
129.00237,0
127.30259,0
0.7390711,0
6.1874666,0
4.758157,0
1.1141805e-13,0
1.8660661e-14,0
0.08827973,0
3.7366877,0
0.010720754,0
0.0021247528,0
0.04825539,0
18.038588,0
69.37116,0
2.236112,0
1.9593482,0
102.06751,0
34.382965,0
1.2200282,0
0.6518492,0
0.0005369376,0
1.8551534e-14,0
0.022692362,0
0.09252324,0
0.010137821,0
1.4947582,0
2.1619537,0
3.3956032,0
0.0024627135,0
30.901323,0
105.99073,0
15.784278,0
0.053866737,0
164.2212,0
91.98967,0
0.7322699,0
0.07788195,0
1.2387229,0
4.3618,0
1.8026074,0
1.6314343,0
0.08110557,0
0.006237275,0
5.6292852e-12,0
61.81501,0
141.74017,0
57.4354,0
10.499045,0
180.04279,0
60.802216,0
0.013835391,0
0.0021097548,0
0.008865969,0
0.0011578654,0
1.3137653,0
0.0052493894,0
0.063180655,0
0.010093827,0
0.10815042,0
547.0868,0
372.76627,0
183.69751,0
87.089165,0
92.93417,0
39.9824,0
0.34165326,0
1.1560006,0
100.56867,0
111.21634,0
4.9990206,0
0.0011178701,0
0.011484664,0
4.676078e-14,0
0.05924511,0
0.17179103,0
1.4755274,0
1.6643084,0
0.97459567,0
0.05830922,0
1.4672084,0
13.565487,0
257.20978,0
674.12415,0
45.59938,0
13.1918545,0
8.75265,0
13.765222,0
6.170463,0
1.2786009e-14,0
64.118225,0
784.359,0
15.745447,0
19.592575,0
9.220476e-13,0
0.020998558,0
0.0045844666,0
0.2529876,0
2.1031833,0
0.037697617,0
16.703354,0
693.7742,0
3048.836,0
2331.1873,0
1419.4518,0
47.131733,0
216.86351,0
1.6275738,0
305.93973,0
0.8039475,0
0.017607953,0
9.597152,0
1.9550267,0
11.3873005,0
0.0038735496,0
14.790041,0
0.03820156,0
0.016028138,0
3.775773e-14,0
0.030988397,0
74.69054,0
72.9421,0
30.322508,0
41.82825,0
16.143791,0
17.309679,0
79.59236,0
10.188649,0
2.8181763,0
16.763563,0
37.38654,0
22.022945,0
28.359947,0
24.089703,0
42.006985,0
564.4056,0
1096.802,0
1571.0505,0
2792.9617,0
1867.8346,0
0.053625762,0
0.39176646,0
0.0421231,0
0.012068597,0
44.911324,0
60.162643,0
10.870885,0
29.62301,0
0.19757204,0
0.062209766,0
0.0017227996,0
3.7414181,0
0.026111964,0
0.014060365,0
3.5528352,0
9.947414,0
48.450657,0
131.62369,0
7.803065,0
0.9012282,0
0.0040095337,0
0.0007859086,0
6.5032587,0
11.801544,0
4.1300507,0
0.0013618417,0
0.0020517614,0
7.3674827,0
0.16574273,0
9.594261,0
0.12913598,0
0.08159351,0
109.19763,0
0.45813075,0
0.05392573,0
0.010592769,0
4.192052,0
0.037396654,0
4.328109,0
20.868784,0
0.82079154,0
14.178545,0
9.020457,0
13.948376,0
16.283136,0
23.699781,0
59.689007,0
91.78835,0
0.019374749,0
3.168311e-14,0
0.1796921,0
0.0003749564,0
0.13579522,0
0.01583416,0
0.3947471,0
6.5809565,0
0.20774984,0
0.07284353,0
0.0103587955,0
4.1169095,0
25.807432,0
61.41399,0
95.60289,0
66.918594,0
0.064000554,0
0.04796342,0
0.0014598303,0
0.037955586,0
0.0045604696,0
2.7304056,0
0.0010478782,0
0.0027106847,0
1.1278958,0
3.018769,0
34.727818,0
25.823135,0
27.87458,0
22.645256,0
0.10260607,0
0.04423386,0
0.033755075,0
0.027924754,0
0.0034885944,0
0.011281689,0
0.009256924,0
0.12113492,0
0.021723473,0
0.0032326241,0
11.628286,0
0.019797698,0
6.681166,0
17.998775,0
1.1015769,0
0.030246483,0
0.0044344845,0
0.09415905,0
0.032893173,0
4.751062,0
0.0018087897,0
0.11258391,0
0.017393976,0
1.5081268e-13,0
0.9771804,0
1.6657213,0
2.3575609,0
2.324071,0
0.11637647,0
2.246142,0
0.06310366,0
0.0015008255,0
38.757584,0
2.0433617,0
4.3622394,0
11.416265,0
2.3021653,0
13.341752,0
2.1099787,0
2.9630365,0
2.900055,0
1.101398,0
1.2682595,0
0.011783631,0
0.19703609,0
0.011455668,0
5.666766,0
8.819547,0
3.5478804,0
72.990715,0
30.375315,0
5.849523,0
14.090421,0
13.291622,0
16.272352,0
64.87651,0
14.619581,0
74.54328,0
5.6405573,0
5.916495,0
0.1650328,0
65.59815,0
41.275787,0
26.876514,0
35.693897,0
44.64071,0
46.189846,0
21.14105,0
